,food items,Allergy,Avg Serving Size,Calories,Category,Carbs,Total Fat,Saturated Fat,Protein,Fiber,Cholesterol,Sodium,Sugar,Potassium,Magnesium,Phosphorus,Vitamin C,Vitamin A,Calcium,Iron,Zinc,Vitamin E,Vitamin K,Serving_Size_Grams,Calories_per_100g,Carbs_per_100g,Total Fat_per_100g,Saturated Fat_per_100g,Protein_per_100g,Fiber_per_100g,Cholesterol_per_100g,Sodium_per_100g,Sugar_per_100g,Potassium_per_100g,Magnesium_per_100g,Phosphorus_per_100g,Vitamin C_per_100g,Vitamin A_per_100g,Calcium_per_100g,Iron_per_100g,Zinc_per_100g,Vitamin E_per_100g,Vitamin K_per_100g
350,Green Pepper,No allergy,74.0,14.8,Vegetables,3.404,0.148,0.0,0.666,1.11,0.0,2.22,1.776,129.5,9.62,14.8,59.496,0.0,0.1036,1.258,7.4,0.222,0.0962,74.0,20.0,4.6,0.2,0.0,0.9000000000000001,1.5000000000000002,0.0,3.0000000000000004,2.4,175.0,12.999999999999998,20.0,80.4,0.0,0.13999999999999999,1.7000000000000002,10.0,0.3,0.13
351,Yellow Pepper,No allergy,186.0,50.22,Vegetables,11.718,0.558,0.0,2.418,4.65,0.0,7.44,8.928,634.26,29.76,57.66,341.31,345.96,0.2604,9.114,18.6,0.558,0.3162,186.0,27.0,6.3,0.3,0.0,1.3,2.5,0.0,4.0,4.8,341.0,16.0,31.0,183.5,186.0,0.14,4.9,10.0,0.3,0.16999999999999998
352,Red Pepper,No allergy,74.0,22.94,Vegetables,4.366,0.222,0.0,0.962,1.11,0.0,2.96,3.108,140.6,7.4,17.76,94.498,1166.98,0.2738,5.476,7.4,0.222,0.0814,74.0,31.0,5.8999999999999995,0.3,0.0,1.3,1.5000000000000002,0.0,4.0,4.2,190.0,10.0,24.000000000000004,127.70000000000002,1577.0,0.37,7.3999999999999995,10.0,0.3,0.11
353,Radish,No allergy,116.0,18.56,Vegetables,3.944,0.116,0.0,0.812,1.856,0.0,45.24,2.204,270.28,11.6,31.32,17.168,0.0,0.1624,1.508,29.0,0.348,0.116,116.0,15.999999999999998,3.4000000000000004,0.1,0.0,0.7000000000000001,1.6,0.0,39.0,1.9000000000000004,232.99999999999997,10.0,27.0,14.799999999999999,0.0,0.13999999999999999,1.3,25.0,0.3,0.1
354,Zucchini,No allergy,113.0,19.21,Vegetables,3.503,0.339,0.113,1.356,1.13,0.0,9.04,2.825,294.93,20.34,42.94,18.645,226.0,0.113,3.616,18.08,0.339,0.226,113.0,17.0,3.1,0.3,0.1,1.2,0.9999999999999999,0.0,7.999999999999999,2.5,261.0,18.0,38.0,16.5,200.0,0.1,3.2,15.999999999999998,0.3,0.2
355,Water Chestnut,No allergy,74.0,71.78,Vegetables,17.02,0.074,0.0,1.48,2.22,0.0,2.96,3.626,432.16,22.94,62.16,1.036,0.0,0.296,0.0,8.88,0.666,1.036,74.0,97.0,23.0,0.1,0.0,2.0,3.0000000000000004,0.0,4.0,4.9,584.0000000000001,31.0,84.0,1.4000000000000001,0.0,0.4,0.0,12.000000000000002,0.9000000000000001,1.4000000000000001
356,Turnips,No allergy,130.0,36.4,Vegetables,8.32,0.13,0.0,1.43,2.99,0.0,36.4,4.94,302.9,15.6,36.4,27.3,0.0,0.13,0.0,39.0,0.39,0.26,130.0,27.999999999999996,6.4,0.1,0.0,1.0999999999999999,2.3000000000000003,0.0,27.999999999999996,3.8000000000000007,232.99999999999997,12.0,27.999999999999996,21.0,0.0,0.1,0.0,30.0,0.3,0.2
357,Yellow Onion,No allergy,100.0,40.0,Vegetables,9.3,0.1,0.0,1.1,1.7,0.0,4.0,4.2,146.0,10.0,29.0,7.4,0.0,0.1,0.4,23.0,0.2,0.1,100.0,40.0,9.3,0.1,0.0,1.1,1.7000000000000002,0.0,4.0,4.2,146.0,10.0,28.999999999999996,7.400000000000001,0.0,0.1,0.4,23.0,0.2,0.1
358,Green Onion,No allergy,25.0,2.5,Vegetables,0.625,0.025,0.0,0.15,0.225,0.0,4.0,0.325,29.75,1.75,3.5,1.85,253.5,0.025,51.875,8.0,0.125,0.025,25.0,10.0,2.5,0.1,0.0,0.6,0.9000000000000001,0.0,16.0,1.3,119.0,7.000000000000001,14.000000000000002,7.400000000000001,1014.0,0.1,207.50000000000003,32.0,0.5,0.1
359,Eggplant,No allergy,82.0,20.5,Vegetables,4.92,0.164,0.0,0.82,2.46,0.0,1.64,2.46,187.78,11.48,19.68,1.804,18.86,0.246,2.87,7.38,0.164,0.164,82.0,25.0,6.0,0.2,0.0,1.0,3.0,0.0,2.0,3.0,229.0,14.000000000000002,24.0,2.2,23.0,0.3,3.5000000000000004,9.0,0.2,0.2
360,Dandelion Greens,No allergy,55.0,24.75,Vegetables,4.95,0.385,0.055,1.485,1.925,0.0,41.8,0.385,218.35,19.8,36.3,19.25,279.4,1.87,428.12,102.85,1.485,0.22,55.0,45.0,9.0,0.7000000000000001,0.1,2.7,3.5000000000000004,0.0,75.99999999999999,0.7000000000000001,397.0,36.0,65.99999999999999,35.0,507.99999999999994,3.4000000000000004,778.4,187.0,2.7,0.4
361,Artichokes,No allergy,120.0,56.4,Vegetables,13.668,0.408,0.084,3.924,10.32,0.0,112.8,1.188,444.0,72.0,87.6,8.88,21.6,0.228,0.0,25.2,1.536,0.588,120.0,47.0,11.389999999999999,0.33999999999999997,0.06999999999999999,3.27,8.600000000000001,0.0,94.0,0.9899999999999999,370.0,60.0,73.0,7.400000000000001,18.000000000000004,0.19,0.0,21.0,1.28,0.49
362,Arugula,No allergy,10.0,2.5,Vegetables,0.365,0.066,0.0086,0.258,0.16,0.0,2.7,0.053,36.9,4.7,5.2,1.5,119.2,0.043,10.86,1.6,0.146,0.047,10.0,25.0,3.65,0.66,0.086,2.58,1.6,0.0,27.0,0.53,369.0,47.0,52.0,15.0,1192.0,0.43,108.59999999999998,16.0,1.4599999999999997,0.47000000000000003
363,Aubergine,No allergy,82.0,20.5,Vegetables,4.674,0.1476,0.041,0.8282,2.788,0.0,1.64,2.8946,187.78,11.48,22.14,1.804,18.86,0.4428,2.87,7.38,0.1886,0.1312,82.0,25.0,5.7,0.18000000000000002,0.05,1.0100000000000002,3.3999999999999995,0.0,2.0,3.53,229.0,14.000000000000002,27.0,2.2,23.0,0.54,3.5000000000000004,9.0,0.22999999999999998,0.16
364,Bean Sprouts,No allergy,100.0,30.0,Vegetables,5.8,0.5,0.1,3.1,1.8,0.0,6.0,0.5,251.0,18.0,40.0,13.0,1002.0,0.5,34.8,26.0,1.5,0.2,100.0,30.0,5.8,0.5,0.1,3.1,1.8000000000000003,0.0,6.0,0.5,250.99999999999997,18.0,40.0,13.0,1002.0,0.5,34.8,26.0,1.5,0.2
365,Bell Peppers,No allergy,100.0,31.0,Vegetables,6.0,0.3,0.1,1.3,2.1,0.0,3.0,4.2,211.0,12.0,21.0,80.0,1577.0,0.3,4.9,10.0,0.3,0.1,100.0,31.0,6.0,0.3,0.1,1.3,2.1,0.0,3.0,4.2,211.0,12.0,21.0,80.0,1577.0,0.3,4.9,10.0,0.3,0.1
